"","idx","obs"
"1",0,-10.6264538107423
"2",1,-9.81635667577792
"3",2,-10.83562861241
"4",3,-8.40471919786221
"5",4,-9.67049222818464
"6",5,-10.820468384118
"7",6,-9.51257094757151
"8",7,-9.26167529487078
"9",8,-9.42421864834651
"10",9,-10.3053883871564
"11",10,-8.48821883154915
"12",11,-9.61015676358857
"13",12,-10.6212405805418
"14",13,-12.2146998871775
"15",14,-8.87506908185689
"16",15,-10.0449336090152
"17",16,-10.0161902630989
"18",17,-9.0561637893147
"19",18,-9.17877880490191
"20",19,-9.40609867878249
"21",20,-9.08102262839178
"22",21,-9.21786369926893
"23",22,-9.92543501663481
"24",23,-11.9893516958634
"25",24,-9.38017425210529
"26",25,-10.056128739529
"27",26,-10.1557955067053
"28",27,-11.4707523838993
"29",28,-10.4781500551086
"30",29,-9.5820584398003
"31",30,1.35867955152904
"32",31,-0.102787727342996
"33",32,0.387671611559369
"34",33,-0.0538050405829051
"35",34,-1.37705955682861
"36",35,-0.41499456329968
"37",36,-0.394289953710349
"38",37,-0.0593133967111857
"39",38,1.10002537198388
"40",39,0.763175748457544
"41",40,-0.164523596253587
"42",41,-0.253361680136508
"43",42,0.696963375404737
"44",43,0.556663198673657
"45",44,-0.68875569454952
"46",45,-0.70749515696212
"47",46,0.36458196213683
"48",47,0.768532924515416
"49",48,-0.112346212150228
"50",49,0.881107726454215
"51",50,0.398105880367068
"52",51,-0.612026393250771
"53",52,0.341119691424425
"54",53,-1.12936309608079
"55",54,1.43302370170104
"56",55,1.98039989850586
"57",56,-0.367221476466509
"58",57,-1.04413462631653
"59",58,0.569719627442413
"60",59,-0.135054603880824
"61",60,2.40161776050478
"62",61,-0.0392400027331692
"63",62,0.689739362450777
"64",63,0.0280021587806661
"65",64,-0.743273208882405
"66",65,0.188792299514343
"67",66,-1.80495862889104
"68",67,1.46555486156289
"69",68,0.153253338211898
"70",69,2.17261167036215
"71",70,0.475509528899663
"72",71,-0.709946430921815
"73",72,0.610726353489055
"74",73,-0.934097631644252
"75",74,-1.2536334002391
"76",75,0.291446235517463
"77",76,-0.443291873218433
"78",77,0.00110535163162413
"79",78,0.0743413241516641
"80",79,-0.589520946188072
"81",80,-0.568668732818502
"82",81,-0.135178615123832
"83",82,1.1780869965732
"84",83,-1.52356680042976
"85",84,0.593946187628422
"86",85,0.332950371213518
"87",86,1.06309983727636
"88",87,-0.304183923634301
"89",88,0.370018809916288
"90",89,0.267098790772231
"91",90,9.45747996900835
"92",91,11.2078678059832
"93",92,11.160402615695
"94",93,10.700213649515
"95",94,11.5868334545408
"96",95,10.5584864255653
"97",96,8.72340779154196
"98",97,9.42673458576311
"99",98,8.77538738510165
"100",99,9.52659936356069
"101",100,9.37963332277588
"102",101,10.0421158731442
"103",102,9.08907835144755
"104",103,10.1580287724041
"105",104,9.34541535608118
"106",105,11.7672872693726
"107",106,10.7167074760172
"108",107,10.9101742294952
"109",108,10.3841853578263
"110",109,11.6821760805194
"111",110,9.36426354605102
"112",111,9.53835526963943
"113",112,11.4322822385417
"114",113,9.34930364668963
"115",114,9.79261925639804
"116",115,9.60719207055802
"117",116,9.68000713145149
"118",117,9.72088669702344
"119",118,10.4941883312678
"120",119,9.82266951773039
"121",120,9.49404253788574
"122",121,11.3430388251704
"123",122,9.78542059145313
"124",123,9.82044346995661
"125",124,9.89980925878644
"126",125,10.7126663070514
"127",126,9.92643559587367
"128",127,9.96236582853295
"129",128,9.31833952124434
"130",129,9.67572972775368
"131",130,10.0601604404345
"132",131,9.41110551374034
"133",132,10.5314961926326
"134",133,8.48160591821321
"135",134,10.3065578607898
"136",135,8.46355017646241
"137",136,9.69902387316339
"138",137,9.47172009555499
"139",138,9.347905219319
"140",139,9.94310322215261
"141",140,8.08564057431999
"142",141,11.1765833120186
"143",142,8.335027563788
"144",143,9.53646959852761
"145",144,8.88407989495716
"146",145,9.24918099880655
"147",146,12.0871665456283
"148",147,10.0173956196933
"149",148,8.71369946956568
"150",149,8.35939446558142
"151",150,10.4501871012727
"152",151,9.98144016728536
"153",152,9.68193162545615
"154",153,9.0706378525463
"155",154,8.51253968985852
"156",155,8.92480770338432
"157",156,11.0000288037139
"158",157,9.37873330520318
"159",158,8.61557315261551
"160",159,11.8692906224236
"161",160,10.4251003773724
"162",161,9.76135289908697
"163",162,11.058483048709
"164",163,10.8864226513749
"165",164,9.38075695176885
"166",165,12.2061024645405
"167",166,9.74497296985898
"168",167,8.57550534978719
"169",168,9.85560039804578
"170",169,10.2075383392323
"171",170,12.3079783990594
"172",171,10.1058023678937
"173",172,10.4569988054234
"174",173,9.92284706464347
"175",174,9.66599915763346
"176",175,9.96527397168872
"177",176,10.7876396056302
"178",177,12.0752450086523
"179",178,11.0273924387638
"180",179,11.2079083983867
